object_name	relation	subject_id	subject_name
adult VNC ventral unpaired median neuron	is_a	VFB_001028h5	neuron 72932 (FANC:519210)
adult VNC ventral unpaired median neuron	is_a	VFB_001028hm	neuron 73169 - flipped (FANC:519542)
adult VNC ventral unpaired median neuron	is_a	VFB_001028h8	neuron 73169 (FANC:519260)
adult VNC ventral unpaired median neuron	is_a	VFB_001028hp	neuron 9477 - flipped (FANC:519596)
adult VNC ventral unpaired median neuron	is_a	VFB_001028h2	neuron 9477 (FANC:519104)
adult VNC ventral unpaired median neuron	is_a	VFB_001028hn	neuron 71286 - flipped (FANC:519557)
adult VNC ventral unpaired median neuron	is_a	VFB_001028h9	neuron 71286 (FANC:519274)
adult VNC ventral unpaired median neuron	is_a	VFB_001028hg	neuron 76863 - flipped (FANC:519412)
adult VNC ventral unpaired median neuron	is_a	VFB_001028hd	neuron 76863 (FANC:519350)
adult VNC ventral unpaired median neuron	is_a	VFB_001028hk	neuron 73129 - flipped (FANC:519507)
adult VNC ventral unpaired median neuron	is_a	VFB_001028h6	neuron 73129 (FANC:519227)
adult VNC ventral unpaired median neuron	is_a	VFB_001028hq	neuron 9494 - flipped (FANC:519617)
adult VNC ventral unpaired median neuron	is_a	VFB_001028ha	neuron 9494 (FANC:519290)
adult VNC ventral unpaired median neuron	is_a	VFB_001028hh	neuron 70241 - flipped (FANC:519439)
adult VNC ventral unpaired median neuron	is_a	VFB_001028h3	neuron 70241 (FANC:519160)
adult VNC ventral unpaired median neuron	is_a	VFB_001028hf	neuron 116675 - flipped (FANC:519393)
adult VNC ventral unpaired median neuron	is_a	VFB_001028hc	neuron 116675 (FANC:519332)
adult VNC ventral unpaired median neuron	is_a	VFB_001028he	neuron 107303 - flipped (FANC:519370)
adult VNC ventral unpaired median neuron	is_a	VFB_001028hb	neuron 107303 (FANC:519310)
ascending mechanosensory neuron of leg chordotonal organ	is_a	VFB_0010283y	neuron 25096 (FANC:512572)
ascending mechanosensory neuron of leg chordotonal organ	is_a	VFB_0010284a	neuron 25106 (FANC:512603)
ascending mechanosensory neuron of leg chordotonal organ	is_a	VFB_0010284f	neuron 25120 (FANC:512672)
ascending mechanosensory neuron of leg chordotonal organ	is_a	VFB_001028ej	neuron 26174 (FANC:517003)
ascending mechanosensory neuron of leg chordotonal organ	is_a	VFB_001028ah	neuron 29810 (FANC:514890)
bilateral campaniform sensillum neuron of mesothoracic leg	is_a	VFB_001028bk	neuron 70906 (FANC:515406)
bilateral campaniform sensillum neuron of mesothoracic leg	is_a	VFB_0010290o	neuron 47841 - flipped (FANC:628819)
