	object	relation	subject_external_db	subject_external_id	subject_name
279	alpha/beta Kenyon cell	is_a	neuprint_JRC	363384138	KCab-s
280	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813020831	KCab-s
281	alpha/beta Kenyon cell	is_a	neuprint_JRC	693841929	KCab-sc
282	alpha/beta Kenyon cell	is_a	neuprint_JRC	519573099	KCab-s
283	alpha/beta Kenyon cell	is_a	neuprint_JRC	908689934	KCab-s
284	alpha/beta Kenyon cell	is_a	neuprint_JRC	908685688	KCab-s
285	alpha/beta Kenyon cell	is_a	neuprint_JRC	891642281	KCab-c
286	fan-shaped neuron	is_a	neuprint_JRC	325489440	FB8D^FB08f_R
287	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813054342	KCab-s
288	alpha/beta Kenyon cell	is_a	neuprint_JRC	330074324	(ADM04)_L
289	alpha/beta Kenyon cell	is_a	neuprint_JRC	736126668	KCab-c
290	alpha/beta Kenyon cell	is_a	neuprint_JRC	767161677	KCab-c
291	alpha/beta Kenyon cell	is_a	neuprint_JRC	363042781	KCab-a
292	alpha/beta Kenyon cell	is_a	neuprint_JRC	332344908	KCab-a
293	alpha/beta Kenyon cell	is_a	neuprint_JRC	767502579	KCab-c
294	adult mushroom body anterior paired lateral cell	is_a	neuprint_JRC	425790257	APL_R
295	fan-shaped neuron	is_a	neuprint_JRC	886284719	FB9B_a^FB09c_L
296	alpha/beta Kenyon cell	is_a	neuprint_JRC	1451695303	KCab-a
297	dopaminergic PAM neuron 4	is_a	neuprint_JRC	1140996390	PAM04_a(B2)_R
298	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813020274	KCab-s
299	fan-shaped neuron	is_a	neuprint_JRC	946308203	FB6A^FB06a_R
300	LNd neuron	is_a	neuprint_JRC	296544364	LNd(aSP7a)_R
301	fan-shaped neuron	is_a	neuprint_JRC	886285039	FB9B_a^FB09c_L
302	fan-shaped neuron	is_a	neuprint_JRC	916292026	FB7A^FB07b_L
303	fan-shaped neuron	is_a	neuprint_JRC	329102850	FB8F_a^FB07f_L
304	fan-shaped neuron	is_a	neuprint_JRC	235985275	FB8E^FB08k_L
305	alpha/beta Kenyon cell	is_a	neuprint_JRC	753852396	KCab-c
306	alpha/beta Kenyon cell	is_a	neuprint_JRC	735785583	KCab-s
307	alpha/beta Kenyon cell	is_a	neuprint_JRC	546307782	(PDM09)_L
308	alpha/beta Kenyon cell	is_a	neuprint_JRC	769721865	KCab-c
309	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813057213	KCab-a
310	alpha/beta posterior Kenyon cell	is_a	neuprint_JRC	5813021788	KCab-p
311	alpha/beta Kenyon cell	is_a	neuprint_JRC	798192115	KCab-a
312	alpha/beta Kenyon cell	is_a	neuprint_JRC	972080542	KCab-c
313	alpha/beta Kenyon cell	is_a	neuprint_JRC	940425232	KCab-a
314	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813021999	KCab-a
315	alpha/beta Kenyon cell	is_a	neuprint_JRC	361104490	(MBDLaxon1)
316	fan-shaped neuron	is_a	neuprint_JRC	298944444	FB6U^FB06oa_R
