subject_external_id	subject_id	subject_name	DataSet	subject_external_db	relation	object	Curator
2828623	VFB_0010159a	v\'ada?_a7l (L1EM:2828623)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
2581860	VFB_0010158l	v\'ada_a4r  (L1EM:2581860)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
16544485	VFB_001015cy	ASB LH Interneuron left  (L1EM:16544485)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
6812313	VFB_001015ay	SOG_somato_right (L1EM:6812313)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
17937123	VFB_001015dc	ASB LH Interneuron right (L1EM:17937123)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
2629826	VFB_0010158n	v\'ada_a2r (L1EM:2629826)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19299703	VFB_001015f4	neuron 19299704 (L1EM:19299703)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
2833891	VFB_0010159b	vdaB? (L1EM:2833891)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
7530253	VFB_001015b6	ITP candidate 4 right (L1EM:7530253)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
20559189	VFB_001015go	fragment? (L1EM:20559189)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19297636	VFB_001015eg	neuron 19297637 (L1EM:19297636)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
17003953	VFB_001015d7	SEZ horns left (L1EM:17003953)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
3778453	VFB_0010159s	Pre-goro11_a3r (L1EM:3778453)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
6978585	VFB_001015b0	CA-LP-2_left1 (L1EM:6978585)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
8813113	VFB_001015bd	BLAd ant med 3 neuron  right (L1EM:8813113)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
3762787	VFB_0010159r	CRZ 2 right (L1EM:3762787)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19299852	VFB_001015fn	neuron 19299853 (L1EM:19299852)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
3567420	VFB_0010159l	ddaC_t3r (L1EM:3567420)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
3727026	VFB_0010159o	CRZ 1 right (L1EM:3727026)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
2872055	VFB_0010159f	v\'ada?_a8l (L1EM:2872055)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
4379508	VFB_001015ac	Output of Hugin left (L1EM:4379508)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19040382	VFB_001015di	Midline Projection Neuron with additional ipsilateral axon/dendrite _ a1l (L1EM:19040382)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
5375337	VFB_001015aj	fragment (L1EM:5375337)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
9254491	VFB_001015bj	ddaA a4r class III md (L1EM:9254491)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
205984	VFB_0010157n	a2l class III (L1EM:205984)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
970844	VFB_0010158a	ddaC?_a5l (L1EM:970844)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
9800178	VFB_001015bo	SNeuron-CPLd right (L1EM:9800178)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
14034311	VFB_001015ch	DPMl b 1 loSM left (L1EM:14034311)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19297567	VFB_001015e6	neuron 19297568 (L1EM:19297567)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
2748174	VFB_0010158u	vdaB?_a7r (L1EM:2748174)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
867393	VFB_0010157v	MB2IN-208 (L1EM:867393)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19522212	VFB_001015ga	neuron 19522213 (L1EM:19522212)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19099494	VFB_001015dn	neuron 19099495 (L1EM:19099494)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
5638694	VFB_001015am	v\'td_ a3r (L1EM:5638694)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19522307	VFB_001015gi	neuron 19522308 (L1EM:19522307)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
