subject_external_id	object	subject_external_db	relation	pub
16316981	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
13167025	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
10947427	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
11261332	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
15250080	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
7982324	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
11941255	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
4215611	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
2670619	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
3762317	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17659014	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
15732050	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
13191017	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
5976168	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
6317793	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17379360	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
16316973	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17324711	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
5993001	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
13645610	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
5996485	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17304269	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
9234420	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
18232369	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
11639192	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17352470	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
3414508	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
6554358	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
