subject_external_id	subject_name	subject_id	subject_external_db	relation	object	pub
720575940605527468	FlyWire:720575940605527468	VFB_fw088388	flywire783	is_a	distal medullary amacrine neuron Dm3c	FlyBase:FBrf0262545
720575940605531593	FlyWire:720575940605531593	VFB_fw067612	flywire783	is_a	adult central medulla intrinsic neuron Cm2	FlyBase:FBrf0262545
720575940605535404	FlyWire:720575940605535404	VFB_fw115968	flywire783	is_a	T4c neuron	
720575940605538220	FlyWire:720575940605538220	VFB_fw123258	flywire783	is_a	lobula plate intrinsic neuron LPi4a	FlyBase:FBrf0262545
720575940605541344	FlyWire:720575940605541344	VFB_fw061211	flywire783	is_a	translobula plate neuron Tlp14	
720575940605544370	FlyWire:720575940605544370	VFB_fw017745	flywire783	is_a	alpha/beta Kenyon cell	
720575940605568736	FlyWire:720575940605568736	VFB_fw103268	flywire783	is_a	adult central medulla intrinsic neuron Cm5	FlyBase:FBrf0262545
720575940605573036	FlyWire:720575940605573036	VFB_fw122001	flywire783	is_a	distal medullary amacrine neuron Dm3b	FlyBase:FBrf0262545
720575940605582508	FlyWire:720575940605582508	VFB_fw028217	flywire783	is_a	adult lobula columnar neuron LC40	
720575940605583136	FlyWire:720575940605583136	VFB_fw033052	flywire783	is_a	adult fan-shaped body layer 4 tangential neuron	
720575940605589681	FlyWire:720575940605589681	VFB_fw009690	flywire783	is_a	fan-shaped body extrinsic columnar neuron	
720575940605591730	FlyWire:720575940605591730	VFB_fw013910	flywire783	is_a	protocerebral bridge 1 glomerulus-fan-shaped body-nodulus 3 medial domain neuron	
720575940605597058	FlyWire:720575940605597058	VFB_fw064562	flywire783	is_a	transmedullary neuron Tm32	FlyBase:FBrf0262545
720575940605607596	FlyWire:720575940605607596	VFB_fw118642	flywire783	is_a	distal medullary amacrine neuron Dm3a	FlyBase:FBrf0262545
720575940605616352	FlyWire:720575940605616352	VFB_fw063637	flywire783	is_a	adult central medulla intrinsic neuron Cm9	FlyBase:FBrf0262545
720575940605617324	FlyWire:720575940605617324	VFB_fw051891	flywire783	is_a	adult central medulla intrinsic neuron Cm15	FlyBase:FBrf0262545
720575940605625376	FlyWire:720575940605625376	VFB_fw043287	flywire783	is_a	alpha/beta Kenyon cell	
720575940605627057	FlyWire:720575940605627057	VFB_fw042286	flywire783	is_a	alpha/beta Kenyon cell	
720575940605627494	FlyWire:720575940605627494	VFB_fw089912	flywire783	is_a	distal medullary amacrine neuron Dm3a	FlyBase:FBrf0262545
720575940605630850	FlyWire:720575940605630850	VFB_fw048878	flywire783	is_a	adult medulla-tubercle neuron 1	
720575940605634494	FlyWire:720575940605634494	VFB_fw088427	flywire783	is_a	lobula plate intrinsic neuron LPi3a	FlyBase:FBrf0262545
720575940605636268	FlyWire:720575940605636268	VFB_fw074812	flywire783	is_a	transmedullary neuron Tm24	FlyBase:FBrf0262545
720575940605637920	FlyWire:720575940605637920	VFB_fw059307	flywire783	is_a	adult lobula intrinsic neuron Li22	FlyBase:FBrf0262545
720575940605643744	FlyWire:720575940605643744	VFB_fw127345	flywire783	is_a	transmedullary Y neuron TmY5a	
720575940605645024	FlyWire:720575940605645024	VFB_fw114944	flywire783	is_a	transmedullary neuron Tm34	FlyBase:FBrf0262545
720575940605645996	FlyWire:720575940605645996	VFB_fw052190	flywire783	is_a	medulla tangential intrinsic neuron 1	FlyBase:FBrf0262545
720575940605648306	FlyWire:720575940605648306	VFB_fw011195	flywire783	is_a	fan-shaped body extrinsic columnar neuron	
720575940605651744	FlyWire:720575940605651744	VFB_fw090161	flywire783	is_a	transmedullary neuron Tm34	FlyBase:FBrf0262545
720575940605652140	FlyWire:720575940605652140	VFB_fw115768	flywire783	is_a	adult central medulla intrinsic neuron Cm34	FlyBase:FBrf0262545
720575940605652256	FlyWire:720575940605652256	VFB_fw089945	flywire783	is_a	distal medullary amacrine neuron Dm3b	FlyBase:FBrf0262545
720575940605653420	FlyWire:720575940605653420	VFB_fw106574	flywire783	is_a	transmedullary Y neuron TmY5a	
720575940605654700	FlyWire:720575940605654700	VFB_fw108301	flywire783	is_a	transmedullary neuron Tm24	FlyBase:FBrf0262545
