subject_external_id	subject_external_db	relation	object
297925478	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297925608	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297925719	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297925742	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297929768	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297929815	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297930040	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297934349	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297938585	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
297947227	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
298055752	neuprint_JRC_Hemibrain_1point1	has_soma_location	left side of organism
298210543	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
298214577	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
298240936	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
298241038	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
298245448	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
298245502	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
298249624	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
298250090	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
298254380	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
298254384	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
