filename	is_a	part_of	dbxrefs	label
52611	neuron	adult nervous system	male-cns_v0_9:52611	T1_R (MaleCNS:52611)
40982	neuron	adult nervous system	male-cns_v0_9:40982	T1_L (MaleCNS:40982)
59676	neuron	adult nervous system	male-cns_v0_9:59676	T1_R (MaleCNS:59676)
50010	neuron	adult nervous system	male-cns_v0_9:50010	T1_L (MaleCNS:50010)
70050	neuron	adult nervous system	male-cns_v0_9:70050	T1_R (MaleCNS:70050)
45315	neuron	adult nervous system	male-cns_v0_9:45315	T1_L (MaleCNS:45315)
122858	neuron	adult nervous system	male-cns_v0_9:122858	T1_L (MaleCNS:122858)
52859	neuron	adult nervous system	male-cns_v0_9:52859	T1_R (MaleCNS:52859)
47894	neuron	adult nervous system	male-cns_v0_9:47894	T1_R (MaleCNS:47894)
73529	neuron	adult nervous system	male-cns_v0_9:73529	T1_R (MaleCNS:73529)
37292	neuron	adult nervous system	male-cns_v0_9:37292	T1_R (MaleCNS:37292)
40194	neuron	adult nervous system	male-cns_v0_9:40194	T1_L (MaleCNS:40194)
