filename	label	is_a	part_of	Curator	DataSet	Template	Imaging_type	synonyms
gL(R)	gL(R)	adult mushroom body gamma-lobe	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	gL(R) on JRC_FlyEM_Hemibrain
INP	INP	inferior neuropils	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	INP on JRC_FlyEM_Hemibrain
lACA(R)	lACA(R)	mushroom body lateral accessory calyx	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	lACA(R) on JRC_FlyEM_Hemibrain
LX(L)	LX(L)	lateral complex	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	LX(L) on JRC_FlyEM_Hemibrain
LX(R)	LX(R)	lateral complex	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	LX(R) on JRC_FlyEM_Hemibrain
MB(+ACA)(R)	MB(+ACA)(R)	adult mushroom body	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	MB(+ACA)(R) on JRC_FlyEM_Hemibrain
MB(L)	MB(L)	adult mushroom body	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	MB(L) on JRC_FlyEM_Hemibrain
MB(R)	MB(R)	adult mushroom body	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	MB(R) on JRC_FlyEM_Hemibrain
OL(R)	OL(R)	adult optic lobe	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	OL(R) on JRC_FlyEM_Hemibrain
PENP	PENP	periesophageal neuropils	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	PENP on JRC_FlyEM_Hemibrain
SNP(L)	SNP(L)	superior neuropils	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	SNP(L) on JRC_FlyEM_Hemibrain
SNP(R)	SNP(R)	superior neuropils	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	SNP(R) on JRC_FlyEM_Hemibrain
vACA(R)	vACA(R)	mushroom body ventral accessory calyx	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	vACA(R) on JRC_FlyEM_Hemibrain
VLNP(R)	VLNP(R)	ventrolateral neuropils	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	VLNP(R) on JRC_FlyEM_Hemibrain
VMNP	VMNP	ventromedial neuropils	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	VMNP on JRC_FlyEM_Hemibrain
