subject_external_db	subject_external_id	subject_name	relation	object	pub
catmaid_l1em	17951153	AN-R-Sens-B1-AVa-32	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15547732	AN-R-Sens-B1-AVa-33	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15574941	AN-R-Sens-B1-AVa-34	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15575232	AN-R-Sens-B1-AVa-35	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15575052	AN-R-Sens-B1-AVa-36	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15564882	AN-R-Sens-B1-AVa-37	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15574508	AN-R-Sens-B1-AVa-38	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15587166	AN-R-Sens-B1-AVa-39	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15576194	AN-R-Sens-B1-AVa-40	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15567466	AN-R-Sens-B1-AVa-41	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15542354	AN-R-Sens-B1-AVa-42	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15748726	AN-R-Sens-B1-AVa-43	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	945309	AN-R-Sens-B1-AVa-44	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	18231999	AN-R-Sens-B1-AVa-45	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15542199	AN-R-Sens-B2-?-00	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15508735	AN-R-Sens-B2-ACp-01	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15531033	AN-R-Sens-B2-ACp-03	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15531916	AN-R-Sens-B2-ACp-04	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	16341507	AN-R-Sens-B2-ACp-05	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15434200	AN-R-Sens-B2-ACp-06	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	16341966	AN-R-Sens-B2-ACp-07	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15409328	AN-R-Sens-B2-ACp-08	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15451084	AN-R-Sens-B2-ACp-09	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15458316	AN-R-Sens-B2-ACp-10	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15592696	AN-R-Sens-B2-ACp-11	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	3795498	AN-R-Sens-B2-ACp-12	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15573283	AN-R-Sens-B2-ACp-13	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15525858	AN-R-Sens-B2-ACp-14	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15530882	AN-R-Sens-B2-ACp-15	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15573331	AN-R-Sens-B2-ACp-16	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15398807	AN-R-Sens-B2-ACp-17	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15507888	AN-R-Sens-B2-ACp-20	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15522777	AN-R-Sens-B2-ACp-21	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15461769	AN-R-Sens-B2-ACp-22	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	18620885	AN-R-Sens-B2-ACp-23	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	7160160	AN-R-Sens-B2-AVp-01	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15533421	AN-R-Sens-B2-AVp-02	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15605657	AN-R-Sens-B2-AVp-03	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15505837	AN-R-Sens-B2-AVp-06	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
